"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ANGOLA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";22
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";3
"AC";"ENTRADA";"PERMANENTE";"GANA                                    ";1
"AC";"ENTRADA";"PERMANENTE";"IÊMEN                                   ";2
"AC";"ENTRADA";"PERMANENTE";"NIGÉRIA                                 ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";68
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";2
"AC";"ENTRADA";"PERMANENTE";"SUÉCIA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";10
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";4
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";2
"AC";"ENTRADA";"VISITANTE ";"BELARUS                                 ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";341
"AC";"ENTRADA";"VISITANTE ";"CANADÁ                                  ";1
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";4
"AC";"ENTRADA";"VISITANTE ";"CHINA                                   ";2
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";35
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";15
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";5
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";7
"AC";"ENTRADA";"VISITANTE ";"FINLÂNDIA                               ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";3
"AC";"ENTRADA";"VISITANTE ";"HONDURAS                                ";1
"AC";"ENTRADA";"VISITANTE ";"HONG KONG (R.A.E.)                      ";1
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";6
"AC";"ENTRADA";"VISITANTE ";"JAPÃO                                   ";1
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";4
"AC";"ENTRADA";"VISITANTE ";"NIGÉRIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"NORUEGA                                 ";4
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";1
"AC";"ENTRADA";"VISITANTE ";"PANAMÁ                                  ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";799
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";3
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";3
"AC";"ENTRADA";"VISITANTE ";"ROMÊNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"SURINAME                                ";2
"AC";"ENTRADA";"VISITANTE ";"TRINIDAD E TOBAGO                       ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";17
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";2
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";2
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";80
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";3
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";5
"AC";"ENTRADA";"VISITANTE ";"GUINÉ                                   ";1
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";76
"AC";"ENTRADA";"VISITANTE ";"POLÔNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";3
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";24
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";3
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";60
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";72
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";26
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";3
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";3
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";4
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";6
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";15
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";342
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";2
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";9
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";5
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";2
"AC";"ENTRADA";"TEMPORÁRIO";"PERU                                    ";3
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";520
"AC";"SAIDA  ";"PERMANENTE";"ANGOLA                                  ";3
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";3
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";12
"AC";"SAIDA  ";"PERMANENTE";"CHINA                                   ";1
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";18
"AC";"SAIDA  ";"PERMANENTE";"GANA                                    ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";1
"AC";"SAIDA  ";"PERMANENTE";"IÊMEN                                   ";2
"AC";"SAIDA  ";"PERMANENTE";"NIGÉRIA                                 ";2
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";53
"AC";"SAIDA  ";"PERMANENTE";"REPÚBLICA DOMINICANA                    ";2
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";19
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";3
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";6
"AC";"SAIDA  ";"VISITANTE ";"AUSTRÁLIA                               ";1
"AC";"SAIDA  ";"VISITANTE ";"BELARUS                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"BENIN                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";325
"AC";"SAIDA  ";"VISITANTE ";"CANADÁ                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";6
"AC";"SAIDA  ";"VISITANTE ";"CHINA                                   ";2
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";20
