UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;ANGOLA                                  ;1
AC;ENTRADA;PERMANENTE;BOLÍVIA                                 ;30
AC;ENTRADA;PERMANENTE;CANADÁ                                  ;1
AC;ENTRADA;PERMANENTE;CHILE                                   ;1
AC;ENTRADA;PERMANENTE;COLÔMBIA                                ;9
AC;ENTRADA;PERMANENTE;ESTADOS UNIDOS                          ;6
AC;ENTRADA;PERMANENTE;FRANÇA                                  ;1
AC;ENTRADA;PERMANENTE;HAITI                                   ;2
AC;ENTRADA;PERMANENTE;PARAGUAI                                ;1
AC;ENTRADA;PERMANENTE;PAÍSES BAIXOS                           ;1
AC;ENTRADA;PERMANENTE;PERU                                    ;81
AC;ENTRADA;PERMANENTE;PORTUGAL                                ;1
AC;ENTRADA;PERMANENTE;REINO UNIDO                             ;1
AC;ENTRADA;PERMANENTE;VENEZUELA                               ;3
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;13
AC;ENTRADA;VISITANTE ;ARGENTINA                               ;11
AC;ENTRADA;VISITANTE ;AUSTRÁLIA                               ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;483
AC;ENTRADA;VISITANTE ;CHILE                                   ;5
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;30
AC;ENTRADA;VISITANTE ;EQUADOR                                 ;27
AC;ENTRADA;VISITANTE ;ESPANHA                                 ;8
AC;ENTRADA;VISITANTE ;ESTADOS UNIDOS                          ;3
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;2
AC;ENTRADA;VISITANTE ;GUATEMALA                               ;1
AC;ENTRADA;VISITANTE ;ISRAEL                                  ;1
AC;ENTRADA;VISITANTE ;ITÁLIA                                  ;1
AC;ENTRADA;VISITANTE ;JAPÃO                                   ;2
AC;ENTRADA;VISITANTE ;LITUÂNIA                                ;1
AC;ENTRADA;VISITANTE ;MALÁSIA                                 ;1
AC;ENTRADA;VISITANTE ;MÉXICO                                  ;2
AC;ENTRADA;VISITANTE ;PARAGUAI                                ;1
AC;ENTRADA;VISITANTE ;PAÍSES BAIXOS                           ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;1521
AC;ENTRADA;VISITANTE ;REINO UNIDO                             ;1
AC;ENTRADA;VISITANTE ;REPÚBLICA DOMINICANA                    ;2
AC;ENTRADA;VISITANTE ;SUÉCIA                                  ;1
AC;ENTRADA;VISITANTE ;SUÍÇA                                   ;1
AC;ENTRADA;VISITANTE ;URUGUAI                                 ;1
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;22
AC;ENTRADA;VISITANTE ;VIETNÃ                                  ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;3
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;4
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;62
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;118
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;2
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;418
AC;ENTRADA;OUTROS    ;BRASIL                                  ;38
AC;ENTRADA;OUTROS    ;PERU                                    ;52
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;8
AC;ENTRADA;OUTROS    ;CUBA                                    ;4
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;1
AC;ENTRADA;OUTROS    ;PAQUISTÃO                               ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;5
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;43
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;1
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;2
AC;ENTRADA;OUTROS    ;CHILE                                   ;2
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;8
AC;ENTRADA;OUTROS    ;CUBA                                    ;2
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;1
AC;ENTRADA;OUTROS    ;HAITI                                   ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;37
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;343
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;4
AC;ENTRADA;OUTROS    ;ITÁLIA                                  ;3
AC;ENTRADA;OUTROS    ;PERU                                    ;8
AC;ENTRADA;OUTROS    ;BRASIL                                  ;1378
AC;SAIDA  ;PERMANENTE;AFEGANISTÃO                             ;1
AC;SAIDA  ;PERMANENTE;ARGENTINA                               ;2
AC;SAIDA  ;PERMANENTE;BOLÍVIA                                 ;13
AC;SAIDA  ;PERMANENTE;CANADÁ                                  ;1
AC;SAIDA  ;PERMANENTE;CHILE                                   ;2
AC;SAIDA  ;PERMANENTE;COLÔMBIA                                ;9
AC;SAIDA  ;PERMANENTE;CUBA                                    ;1
AC;SAIDA  ;PERMANENTE;FRANÇA                                  ;1
AC;SAIDA  ;PERMANENTE;HAITI                                   ;12
AC;SAIDA  ;PERMANENTE;ITÁLIA                                  ;1
AC;SAIDA  ;PERMANENTE;PERU                                    ;47
AC;SAIDA  ;PERMANENTE;POLÔNIA                                 ;1
AC;SAIDA  ;PERMANENTE;PORTUGAL                                ;1
AC;SAIDA  ;PERMANENTE;REPÚBLICA DOMINICANA                    ;1
AC;SAIDA  ;PERMANENTE;URUGUAI                                 ;1
AC;SAIDA  ;PERMANENTE;VENEZUELA                               ;9
AC;SAIDA  ;VISITANTE ;ALEMANHA                                ;7
AC;SAIDA  ;VISITANTE ;ARGENTINA                               ;13
AC;SAIDA  ;VISITANTE ;BOLÍVIA                                 ;407
AC;SAIDA  ;VISITANTE ;BÉLGICA                                 ;1
AC;SAIDA  ;VISITANTE ;CHILE                                   ;5
AC;SAIDA  ;VISITANTE ;COLÔMBIA                                ;13
AC;SAIDA  ;VISITANTE ;DINAMARCA                               ;1
AC;SAIDA  ;VISITANTE ;EQUADOR                                 ;14
AC;SAIDA  ;VISITANTE ;ERITRÉIA                                ;3
AC;SAIDA  ;VISITANTE ;ESPANHA                                 ;12
AC;SAIDA  ;VISITANTE ;ESTADOS UNIDOS                          ;3
AC;SAIDA  ;VISITANTE ;FRANÇA                                  ;5
AC;SAIDA  ;VISITANTE ;GUATEMALA                               ;1
AC;SAIDA  ;VISITANTE ;IRÃ                                     ;5
AC;SAIDA  ;VISITANTE ;ISRAEL                                  ;4
AC;SAIDA  ;VISITANTE ;ITÁLIA                                  ;3
AC;SAIDA  ;VISITANTE ;MÉXICO                                  ;2
AC;SAIDA  ;VISITANTE ;PAÍSES BAIXOS                           ;4
AC;SAIDA  ;VISITANTE ;PERU                                    ;1348
AC;SAIDA  ;VISITANTE ;PORTUGAL                                ;1
AC;SAIDA  ;VISITANTE ;REINO UNIDO                             ;4
AC;SAIDA  ;VISITANTE ;SUÉCIA                                  ;1
AC;SAIDA  ;VISITANTE ;SUÍÇA                                   ;5
AC;SAIDA  ;VISITANTE ;URUGUAI                                 ;1
AC;SAIDA  ;VISITANTE ;VENEZUELA                               ;5
AC;SAIDA  ;VISITANTE ;VIETNÃ                                  ;1
