"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";26
"AC";"ENTRADA";"PERMANENTE";"CHADE                                   ";1
"AC";"ENTRADA";"PERMANENTE";"CHILE                                   ";1
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";2
"AC";"ENTRADA";"PERMANENTE";"EQUADOR                                 ";2
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";69
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";3
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";10
"AC";"ENTRADA";"VISITANTE ";"ALBÂNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";2
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";1
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";304
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";1
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";23
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";12
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"GRÉCIA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"GUATEMALA                               ";1
"AC";"ENTRADA";"VISITANTE ";"ÍNDIA                                   ";1
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";739
"AC";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"SUÉCIA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"UCRÂNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";25
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";2
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";63
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";30
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";9
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";382
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";82
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";12
"AC";"ENTRADA";"OUTROS    ";"BENIN                                   ";1
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";9
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";2
"AC";"ENTRADA";"OUTROS    ";"MARROCOS                                ";3
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";18
"AC";"ENTRADA";"OUTROS    ";"UGANDA                                  ";1
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";316
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";4
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";5
"AC";"ENTRADA";"OUTROS    ";"ESPANHA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";4
"AC";"ENTRADA";"TEMPORÁRIO";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";595
"AC";"SAIDA  ";"PERMANENTE";"ANGOLA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";2
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";18
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";2
"AC";"SAIDA  ";"PERMANENTE";"COSTA RICA                              ";2
"AC";"SAIDA  ";"PERMANENTE";"CUBA                                    ";4
"AC";"SAIDA  ";"PERMANENTE";"ESTADOS UNIDOS                          ";2
"AC";"SAIDA  ";"PERMANENTE";"GUINÉ                                   ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";55
"AC";"SAIDA  ";"PERMANENTE";"PORTUGAL                                ";2
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";12
"AC";"SAIDA  ";"VISITANTE ";"ALBÂNIA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";4
"AC";"SAIDA  ";"VISITANTE ";"ANGOLA                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";6
"AC";"SAIDA  ";"VISITANTE ";"ÁUSTRIA                                 ";2
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";313
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";13
"AC";"SAIDA  ";"VISITANTE ";"CORÉIA DO SUL                           ";1
"AC";"SAIDA  ";"VISITANTE ";"CUBA                                    ";1
"AC";"SAIDA  ";"VISITANTE ";"EQUADOR                                 ";4
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";1
"AC";"SAIDA  ";"VISITANTE ";"FILIPINAS                               ";1
"AC";"SAIDA  ";"VISITANTE ";"FRANÇA                                  ";2
"AC";"SAIDA  ";"VISITANTE ";"ISRAEL                                  ";7
"AC";"SAIDA  ";"VISITANTE ";"MÉXICO                                  ";1
