UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;ANGOLA                                  ;1
AC;ENTRADA;PERMANENTE;ARGENTINA                               ;1
AC;ENTRADA;PERMANENTE;BOLÍVIA                                 ;21
AC;ENTRADA;PERMANENTE;COLÔMBIA                                ;7
AC;ENTRADA;PERMANENTE;HAITI                                   ;1
AC;ENTRADA;PERMANENTE;MARROCOS                                ;1
AC;ENTRADA;PERMANENTE;PERU                                    ;69
AC;ENTRADA;PERMANENTE;PORTUGAL                                ;4
AC;ENTRADA;PERMANENTE;VENEZUELA                               ;11
AC;ENTRADA;PERMANENTE;ÁUSTRIA                                 ;1
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;10
AC;ENTRADA;VISITANTE ;ARGENTINA                               ;4
AC;ENTRADA;VISITANTE ;AUSTRÁLIA                               ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;302
AC;ENTRADA;VISITANTE ;BULGÁRIA                                ;1
AC;ENTRADA;VISITANTE ;CANADÁ                                  ;1
AC;ENTRADA;VISITANTE ;CHILE                                   ;5
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;13
AC;ENTRADA;VISITANTE ;EQUADOR                                 ;4
AC;ENTRADA;VISITANTE ;ESPANHA                                 ;4
AC;ENTRADA;VISITANTE ;ESTADOS UNIDOS                          ;7
AC;ENTRADA;VISITANTE ;ESTÔNIA                                 ;1
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;2
AC;ENTRADA;VISITANTE ;ISRAEL                                  ;2
AC;ENTRADA;VISITANTE ;ITÁLIA                                  ;4
AC;ENTRADA;VISITANTE ;PERU                                    ;768
AC;ENTRADA;VISITANTE ;PORTUGAL                                ;1
AC;ENTRADA;VISITANTE ;REINO UNIDO                             ;1
AC;ENTRADA;VISITANTE ;REPÚBLICA DOMINICANA                    ;1
AC;ENTRADA;VISITANTE ;SUÉCIA                                  ;1
AC;ENTRADA;VISITANTE ;SUÍÇA                                   ;1
AC;ENTRADA;VISITANTE ;UCRÂNIA                                 ;1
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;35
AC;ENTRADA;VISITANTE ;ÁUSTRIA                                 ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;5
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;3
AC;ENTRADA;VISITANTE ;ARGENTINA                               ;2
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;44
AC;ENTRADA;VISITANTE ;CHILE                                   ;1
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;1
AC;ENTRADA;VISITANTE ;PAÍSES BAIXOS                           ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;87
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;5
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;2
AC;ENTRADA;VISITANTE ;PERU                                    ;15
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;361
AC;ENTRADA;OUTROS    ;BRASIL                                  ;39
AC;ENTRADA;OUTROS    ;PERU                                    ;36
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;19
AC;ENTRADA;OUTROS    ;CUBA                                    ;4
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;2
AC;ENTRADA;OUTROS    ;PERU                                    ;8
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;74
AC;ENTRADA;OUTROS    ;VIETNÃ                                  ;1
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;2
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;1
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;4
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;1
AC;ENTRADA;OUTROS    ;CUBA                                    ;2
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;3
AC;ENTRADA;OUTROS    ;HAITI                                   ;3
AC;ENTRADA;OUTROS    ;PERU                                    ;16
AC;ENTRADA;OUTROS    ;TUVALU                                  ;2
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;363
AC;ENTRADA;OUTROS    ;BRASIL                                  ;1264
AC;SAIDA  ;PERMANENTE;AFEGANISTÃO                             ;7
AC;SAIDA  ;PERMANENTE;ARGENTINA                               ;2
AC;SAIDA  ;PERMANENTE;BOLÍVIA                                 ;14
AC;SAIDA  ;PERMANENTE;BÉLGICA                                 ;1
AC;SAIDA  ;PERMANENTE;COLÔMBIA                                ;9
AC;SAIDA  ;PERMANENTE;EQUADOR                                 ;1
AC;SAIDA  ;PERMANENTE;ESPANHA                                 ;1
AC;SAIDA  ;PERMANENTE;GUINÉ BISSAU                            ;1
AC;SAIDA  ;PERMANENTE;HAITI                                   ;2
AC;SAIDA  ;PERMANENTE;NIGÉRIA                                 ;1
AC;SAIDA  ;PERMANENTE;PERU                                    ;57
AC;SAIDA  ;PERMANENTE;PORTUGAL                                ;5
AC;SAIDA  ;PERMANENTE;REPÚBLICA TCHECA                        ;1
AC;SAIDA  ;PERMANENTE;SAN MARINO                              ;1
AC;SAIDA  ;PERMANENTE;VENEZUELA                               ;3
AC;SAIDA  ;PERMANENTE;ÁUSTRIA                                 ;1
AC;SAIDA  ;VISITANTE ;AFEGANISTÃO                             ;2
AC;SAIDA  ;VISITANTE ;ALEMANHA                                ;13
AC;SAIDA  ;VISITANTE ;ARGENTINA                               ;9
AC;SAIDA  ;VISITANTE ;AUSTRÁLIA                               ;1
AC;SAIDA  ;VISITANTE ;BENIN                                   ;1
AC;SAIDA  ;VISITANTE ;BOLÍVIA                                 ;284
AC;SAIDA  ;VISITANTE ;CANADÁ                                  ;1
AC;SAIDA  ;VISITANTE ;CHILE                                   ;3
AC;SAIDA  ;VISITANTE ;COLÔMBIA                                ;5
AC;SAIDA  ;VISITANTE ;EQUADOR                                 ;4
AC;SAIDA  ;VISITANTE ;ESPANHA                                 ;8
AC;SAIDA  ;VISITANTE ;ESTADOS UNIDOS                          ;7
AC;SAIDA  ;VISITANTE ;ETIÓPIA                                 ;22
AC;SAIDA  ;VISITANTE ;FRANÇA                                  ;8
AC;SAIDA  ;VISITANTE ;ITÁLIA                                  ;4
AC;SAIDA  ;VISITANTE ;JAPÃO                                   ;1
AC;SAIDA  ;VISITANTE ;MOÇAMBIQUE                              ;1
AC;SAIDA  ;VISITANTE ;NEPAL                                   ;1
AC;SAIDA  ;VISITANTE ;NICARÁGUA                               ;1
AC;SAIDA  ;VISITANTE ;PAQUISTÃO                               ;2
AC;SAIDA  ;VISITANTE ;PAÍSES BAIXOS                           ;15
AC;SAIDA  ;VISITANTE ;PERU                                    ;692
AC;SAIDA  ;VISITANTE ;POLÔNIA                                 ;1
AC;SAIDA  ;VISITANTE ;PORTUGAL                                ;2
