"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";6
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";1
"AC";"ENTRADA";"PERMANENTE";"EQUADOR                                 ";1
"AC";"ENTRADA";"PERMANENTE";"GANA                                    ";1
"AC";"ENTRADA";"PERMANENTE";"HAITI                                   ";3
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";22
"AC";"ENTRADA";"PERMANENTE";"SENEGAL                                 ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";12
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";2
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";9
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";2
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";494
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";125
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";120
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";5
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";7
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";25
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";407
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";17
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"TEMPORÁRIO";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";192
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";10
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";2
"AC";"SAIDA  ";"PERMANENTE";"GANA                                    ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";31
"AC";"SAIDA  ";"PERMANENTE";"SENEGAL                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";4
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";15
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";6
"AC";"SAIDA  ";"VISITANTE ";"SUÍÇA                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";3
"AC";"SAIDA  ";"VISITANTE ";"FRANÇA                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";2
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";2
"AC";"SAIDA  ";"OUTROS    ";"CUBA                                    ";14
"AC";"SAIDA  ";"OUTROS    ";"HAITI                                   ";1
"AC";"SAIDA  ";"OUTROS    ";"IÊMEN                                   ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";2
"AC";"SAIDA  ";"OUTROS    ";"URUGUAI                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";500
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";70
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";120
"AC";"SAIDA  ";"OUTROS    ";"PORTUGAL                                ";1
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";2
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";2
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";6
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"TEMPORÁRIO";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";266
"AL";"ENTRADA";"OUTROS    ";"BULGÁRIA                                ";19
"AL";"ENTRADA";"OUTROS    ";"CROÁCIA                                 ";1
"AL";"ENTRADA";"OUTROS    ";"EGITO                                   ";11
"AL";"ENTRADA";"OUTROS    ";"FILIPINAS                               ";13
"AL";"ENTRADA";"OUTROS    ";"ÍNDIA                                   ";5
"AL";"ENTRADA";"OUTROS    ";"LETÔNIA                                 ";2
"AL";"ENTRADA";"OUTROS    ";"PAQUISTÃO                               ";1
"AL";"ENTRADA";"OUTROS    ";"REINO UNIDO                             ";1
"AL";"ENTRADA";"OUTROS    ";"RÚSSIA                                  ";2
"AL";"ENTRADA";"OUTROS    ";"SÍRIA                                   ";9
"AL";"SAIDA  ";"OUTROS    ";"CHINA                                   ";21
"AL";"SAIDA  ";"OUTROS    ";"CORÉIA DO SUL                           ";2
"AL";"SAIDA  ";"OUTROS    ";"INDONÉSIA                               ";19
"AM";"ENTRADA";"PERMANENTE";"BANGLADESH                              ";2
"AM";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";64
"AM";"ENTRADA";"PERMANENTE";"CUBA                                    ";1
"AM";"ENTRADA";"PERMANENTE";"ESTADOS UNIDOS                          ";2
"AM";"ENTRADA";"PERMANENTE";"FRANÇA                                  ";1
"AM";"ENTRADA";"PERMANENTE";"HAITI                                   ";292
"AM";"ENTRADA";"PERMANENTE";"JAPÃO                                   ";2
"AM";"ENTRADA";"PERMANENTE";"PERU                                    ";14
"AM";"ENTRADA";"PERMANENTE";"URUGUAI                                 ";1
"AM";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";27
"AM";"ENTRADA";"VISITANTE ";"CHINA                                   ";1
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";33
"AM";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";1
"AM";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AM";"ENTRADA";"VISITANTE ";"PERU                                    ";8
"AM";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AM";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";2
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";6
"AM";"ENTRADA";"VISITANTE ";"PERU                                    ";3
"AM";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";1
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";4
"AM";"ENTRADA";"VISITANTE ";"PORTUGAL                                ";2
"AM";"ENTRADA";"VISITANTE ";"URUGUAI                                 ";1
"AM";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";3
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";8
"AM";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";1
"AM";"ENTRADA";"VISITANTE ";"PERU                                    ";10
"AM";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";2
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";2
"AM";"ENTRADA";"OUTROS    ";"ARGENTINA                               ";3
"AM";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";83
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";22
"AM";"ENTRADA";"OUTROS    ";"DINAMARCA                               ";1
"AM";"ENTRADA";"OUTROS    ";"ESTADOS UNIDOS                          ";33
"AM";"ENTRADA";"OUTROS    ";"ÍNDIA                                   ";1
"AM";"ENTRADA";"OUTROS    ";"INDONÉSIA                               ";1
"AM";"ENTRADA";"OUTROS    ";"MÉXICO                                  ";6
"AM";"ENTRADA";"OUTROS    ";"PARAGUAI                                ";1
"AM";"ENTRADA";"OUTROS    ";"RÚSSIA                                  ";6
"AM";"ENTRADA";"OUTROS    ";"SURINAME                                ";4
"AM";"ENTRADA";"OUTROS    ";"UCRÂNIA                                 ";1
"AM";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";6
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"OUTROS    ";"GUIANA                                  ";1
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";86
"AM";"ENTRADA";"OUTROS    ";"MAURÍCIO                                ";1
"AM";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";15
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";3
"AM";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";2
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";2
"AM";"ENTRADA";"OUTROS    ";"ESTADOS UNIDOS                          ";1
"AM";"ENTRADA";"OUTROS    ";"PORTUGAL                                ";1
"AM";"ENTRADA";"TEMPORÁRIO";"COLÔMBIA                                ";3
"AM";"ENTRADA";"TEMPORÁRIO";"HAITI                                   ";165
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";777
"AM";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";59
"AM";"SAIDA  ";"PERMANENTE";"CUBA                                    ";2
"AM";"SAIDA  ";"PERMANENTE";"ESTADOS UNIDOS                          ";3
"AM";"SAIDA  ";"PERMANENTE";"FRANÇA                                  ";1
"AM";"SAIDA  ";"PERMANENTE";"HAITI                                   ";106
"AM";"SAIDA  ";"PERMANENTE";"JAPÃO                                   ";2
"AM";"SAIDA  ";"PERMANENTE";"NIGÉRIA                                 ";1
"AM";"SAIDA  ";"PERMANENTE";"PERU                                    ";18
"AM";"SAIDA  ";"PERMANENTE";"REPÚBLICA DOMINICANA                    ";1
"AM";"SAIDA  ";"PERMANENTE";"URUGUAI                                 ";1
"AM";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";4
"AM";"SAIDA  ";"VISITANTE ";"CHILE                                   ";4
"AM";"SAIDA  ";"VISITANTE ";"CHINA                                   ";1
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";33
"AM";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";2
"AM";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AM";"SAIDA  ";"VISITANTE ";"HAITI                                   ";1
"AM";"SAIDA  ";"VISITANTE ";"ISRAEL                                  ";1
"AM";"SAIDA  ";"VISITANTE ";"ITÁLIA                                  ";1
"AM";"SAIDA  ";"VISITANTE ";"PERU                                    ";8
"AM";"SAIDA  ";"VISITANTE ";"PORTUGAL                                ";1
"AM";"SAIDA  ";"VISITANTE ";"TURQUIA                                 ";1
"AM";"SAIDA  ";"VISITANTE ";"UCRÂNIA                                 ";2
"AM";"SAIDA  ";"VISITANTE ";"URUGUAI                                 ";1
"AM";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";2
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";5
"AM";"SAIDA  ";"VISITANTE ";"CORÉIA DO SUL                           ";1
"AM";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AM";"SAIDA  ";"VISITANTE ";"PERU                                    ";2
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";3
"AM";"SAIDA  ";"VISITANTE ";"PORTUGAL                                ";1
"AM";"SAIDA  ";"VISITANTE ";"URUGUAI                                 ";1
"AM";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";1
"AM";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";1
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";2
"AM";"SAIDA  ";"VISITANTE ";"PERU                                    ";5
"AM";"SAIDA  ";"OUTROS    ";"LETÔNIA                                 ";1
"AM";"SAIDA  ";"OUTROS    ";"UCRÂNIA                                 ";3
"AM";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";1
"AM";"SAIDA  ";"OUTROS    ";"BULGÁRIA                                ";1
"AM";"SAIDA  ";"OUTROS    ";"ETIÓPIA                                 ";1
"AM";"SAIDA  ";"OUTROS    ";"FILIPINAS                               ";69
"AM";"SAIDA  ";"OUTROS    ";"ÍNDIA                                   ";23
"AM";"SAIDA  ";"OUTROS    ";"LETÔNIA                                 ";6
"AM";"SAIDA  ";"OUTROS    ";"MYANMAR                                 ";4
"AM";"SAIDA  ";"OUTROS    ";"POLÔNIA                                 ";2
"AM";"SAIDA  ";"OUTROS    ";"RÚSSIA                                  ";9
"AM";"SAIDA  ";"OUTROS    ";"UCRÂNIA                                 ";17
"AM";"SAIDA  ";"OUTROS    ";"VIETNÃ                                  ";21
"AM";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";2
"AM";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";44
"AM";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";16
"AM";"SAIDA  ";"OUTROS    ";"DINAMARCA                               ";1
"AM";"SAIDA  ";"OUTROS    ";"ESTADOS UNIDOS                          ";19
"AM";"SAIDA  ";"OUTROS    ";"ÍNDIA                                   ";1
"AM";"SAIDA  ";"OUTROS    ";"INDONÉSIA                               ";1
"AM";"SAIDA  ";"OUTROS    ";"MÉXICO                                  ";6
"AM";"SAIDA  ";"OUTROS    ";"RÚSSIA                                  ";6
"AM";"SAIDA  ";"OUTROS    ";"SURINAME                                ";4
"AM";"SAIDA  ";"OUTROS    ";"UCRÂNIA                                 ";1
"AM";"SAIDA  ";"OUTROS    ";"CUBA                                    ";6
"AM";"SAIDA  ";"OUTROS    ";"HAITI                                   ";6
"AM";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";1
"AM";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";1
"AM";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";3
"AM";"SAIDA  ";"OUTROS    ";"HAITI                                   ";1
"AM";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";2
