UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;AFEGANISTÃO                             ;5
AC;ENTRADA;PERMANENTE;ANGOLA                                  ;1
AC;ENTRADA;PERMANENTE;BOLÍVIA                                 ;21
AC;ENTRADA;PERMANENTE;CHILE                                   ;1
AC;ENTRADA;PERMANENTE;COLÔMBIA                                ;4
AC;ENTRADA;PERMANENTE;EQUADOR                                 ;2
AC;ENTRADA;PERMANENTE;PERU                                    ;136
AC;ENTRADA;PERMANENTE;PORTUGAL                                ;1
AC;ENTRADA;PERMANENTE;VENEZUELA                               ;48
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;2
AC;ENTRADA;VISITANTE ;AUSTRÁLIA                               ;1
AC;ENTRADA;VISITANTE ;BANGLADESH                              ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;300
AC;ENTRADA;VISITANTE ;CANADÁ                                  ;4
AC;ENTRADA;VISITANTE ;CHILE                                   ;5
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;14
AC;ENTRADA;VISITANTE ;EQUADOR                                 ;6
AC;ENTRADA;VISITANTE ;ESPANHA                                 ;2
AC;ENTRADA;VISITANTE ;ESTADOS UNIDOS                          ;5
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;4
AC;ENTRADA;VISITANTE ;ITÁLIA                                  ;1
AC;ENTRADA;VISITANTE ;JAPÃO                                   ;1
AC;ENTRADA;VISITANTE ;NICARÁGUA                               ;1
AC;ENTRADA;VISITANTE ;PARAGUAI                                ;1
AC;ENTRADA;VISITANTE ;PAÍSES BAIXOS                           ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;922
AC;ENTRADA;VISITANTE ;POLÔNIA                                 ;2
AC;ENTRADA;VISITANTE ;REINO UNIDO                             ;1
AC;ENTRADA;VISITANTE ;SUÍÇA                                   ;3
AC;ENTRADA;VISITANTE ;URUGUAI                                 ;2
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;33
AC;ENTRADA;VISITANTE ;PERU                                    ;3
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;55
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;1
AC;ENTRADA;VISITANTE ;ESTADOS UNIDOS                          ;2
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;78
AC;ENTRADA;VISITANTE ;REINO UNIDO                             ;1
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;5
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;353
AC;ENTRADA;OUTROS    ;BRASIL                                  ;44
AC;ENTRADA;OUTROS    ;HAITI                                   ;1
